,Active,rhha_57_rescore,rhha_57_predict,rhha_96_rescore,rhha_96_predict,rrha_16_rescore,rrha_16_predict,rrha_4_rescore,rrha_4_predict,rrha_8_rescore,rrha_8_predict,rrhh_6_rescore,rrhh_6_predict
16,1.0,0.490566247347625,1.0,0.3201903008721614,1.0,0.6260846382606731,1.0,0.38368182427843966,1.0,0.5587771770766767,1.0,0.3014596529340675,1.0
17,1.0,0.47653593188935506,1.0,0.0,0.0,0.6261348918720457,1.0,0.32866993776084763,1.0,0.5587678922272452,1.0,0.3015624855825848,1.0
18,1.0,0.49044249106308546,1.0,0.32020344469756146,1.0,0.6260976945516077,1.0,0.38341135268336646,1.0,0.5590002610590167,1.0,0.30147225224956153,1.0
19,1.0,0.490566247347625,1.0,0.3201903008721614,1.0,0.6260846382606731,1.0,0.38368182427843966,1.0,0.5587771770766767,1.0,0.3327993385211139,1.0
20,1.0,0.5732794491546345,1.0,0.0,0.0,0.486245858180093,1.0,0.4273474032951725,1.0,0.5587678922272452,1.0,0.3015624855825848,1.0
21,1.0,0.47228462915507885,1.0,0.32020344469756146,1.0,0.48633480875013957,1.0,0.3858225044243302,1.0,0.5590002610590167,1.0,0.33280911225482435,1.0
22,1.0,0.47228462915507885,1.0,0.32020344469756146,1.0,0.48633480875013957,1.0,0.3858225044243302,1.0,0.5590002610590167,1.0,0.30147225224956153,1.0
23,1.0,0.4723836688996609,1.0,0.32020344469756146,1.0,0.48630605344914124,1.0,0.35371416640169495,1.0,0.5587540578015924,1.0,0.21891218028820036,1.0
24,1.0,0.4723952797908465,1.0,0.3201903008721614,1.0,0.4863775012484489,1.0,0.3857790526064737,1.0,0.5587771770766767,1.0,0.3014596529340675,1.0
25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5588277176070819,1.0,0.2650323452221339,1.0
26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3735762263699939,1.0,0.2650323452221339,1.0
27,1.0,0.4647432106760331,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37362683911589467,1.0,0.2650719960091297,1.0
28,1.0,0.4917106723300042,1.0,0.0,0.0,0.6261163299162591,1.0,0.3918437597047235,1.0,0.3680354512057694,1.0,0.0,0.0
29,1.0,0.49915960871065257,1.0,0.0,0.0,0.6261668981370518,1.0,0.39186254798171427,1.0,0.4708845227285636,1.0,0.0,0.0
