,Active,rhha_53_rescore,rhha_53_predict,rhha_8_rescore,rhha_8_predict,rrha_4_rescore,rrha_4_predict
61,1.0,0.7106991186921365,1.0,0.6038135006761904,1.0,0.0,0.0
62,1.0,0.6288000866214609,1.0,0.7696562928024221,1.0,0.0,0.0
63,1.0,0.7235438464686446,1.0,0.5344153954660776,1.0,0.0,0.0
64,1.0,0.38951751331951634,1.0,0.25820939824684275,1.0,0.0,0.0
65,1.0,0.3896360673020943,1.0,0.2582922819800295,1.0,0.0,0.0
66,1.0,0.389631516420465,1.0,0.2582710053128896,1.0,0.0,0.0
67,1.0,0.38978564363008383,1.0,0.2581857927902649,1.0,0.0,0.0
68,1.0,0.23210149305887096,1.0,0.22374183260464608,1.0,0.0,0.0
69,1.0,0.402984626900842,1.0,0.5959623999161721,1.0,0.0,0.0
70,1.0,0.786048658548778,1.0,0.3334458103347292,1.0,0.7989487926004967,1.0
71,1.0,0.786048658548778,1.0,0.3334458103347292,1.0,0.7989487926004967,1.0
72,1.0,0.786048658548778,1.0,0.3334458103347292,1.0,0.7989487926004967,1.0
73,1.0,0.5069894509559223,1.0,0.7235091389054412,1.0,0.0,0.0
74,1.0,0.472392573877385,1.0,0.6327446552350556,1.0,0.0,0.0
75,1.0,0.47232437092952284,1.0,0.6325182122184109,1.0,0.0,0.0
76,1.0,0.3311953934388866,1.0,0.43292374549409673,1.0,0.0,0.0
77,1.0,0.5718711191929947,1.0,0.26278832755266057,1.0,0.6916344731063903,1.0
78,1.0,0.2782103225005875,1.0,0.0,0.0,0.5881941484930251,1.0
79,1.0,0.0,0.0,0.0,0.0,0.5879926941360697,1.0
80,1.0,0.0,0.0,0.3486224252493786,1.0,0.5880793671762203,1.0
81,1.0,0.36782170252560487,1.0,0.40009685435273445,1.0,0.0,0.0
82,1.0,0.2782430225440832,1.0,0.0,0.0,0.5881890707393703,1.0
83,1.0,0.42099502726269444,1.0,0.385765378296019,1.0,0.7784456462196165,1.0
84,1.0,0.0,0.0,0.0,0.0,0.0,0.0
85,1.0,0.0,0.0,0.0,0.0,0.0,0.0
86,1.0,0.0,0.0,0.0,0.0,0.0,0.0
87,1.0,0.0,0.0,0.0,0.0,0.0,0.0
88,1.0,0.0,0.0,0.0,0.0,0.0,0.0
89,1.0,0.0,0.0,0.0,0.0,0.0,0.0
90,1.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1.0,0.0,0.0,0.0,0.0,0.0,0.0
92,1.0,0.0,0.0,0.0,0.0,0.0,0.0
93,1.0,0.0,0.0,0.0,0.0,0.0,0.0
94,1.0,0.0,0.0,0.0,0.0,0.0,0.0
95,1.0,0.0,0.0,0.0,0.0,0.0,0.0
96,1.0,0.0,0.0,0.0,0.0,0.0,0.0
97,1.0,0.0,0.0,0.0,0.0,0.0,0.0
98,1.0,0.6379889394890669,1.0,0.6864239080806485,1.0,0.0,0.0
99,1.0,0.47232437092952284,1.0,0.6325182122184109,1.0,0.0,0.0
100,1.0,0.6972785788133135,1.0,0.643606213858048,1.0,0.0,0.0
101,1.0,0.6972785788133135,1.0,0.643606213858048,1.0,0.0,0.0
102,1.0,0.4424567640125363,1.0,0.3060071345851769,1.0,0.3592228925526053,1.0
103,1.0,0.8606520446940378,1.0,0.5198215812791496,1.0,0.660700165631106,1.0
104,1.0,0.0,0.0,0.48645926968972675,1.0,0.9726591565686604,1.0
105,1.0,0.6630262526999889,1.0,0.5197540040438158,1.0,0.9726187151709752,1.0
106,1.0,0.5719194409162555,1.0,0.1538593074351693,1.0,0.5881504858326458,1.0
107,1.0,0.8606573389867942,1.0,0.49881792235928213,1.0,0.8789035431922758,1.0
108,1.0,0.8606573389867942,1.0,0.49881792235928213,1.0,0.8789035431922758,1.0
109,1.0,0.5719194409162555,1.0,0.1538593074351693,1.0,0.5881504858326458,1.0
110,1.0,0.5719194409162555,1.0,0.1911636561752832,1.0,0.5881504858326458,1.0
111,1.0,0.0,0.0,0.0,0.0,0.0,0.0
112,1.0,0.8606520446940378,1.0,0.5198215812791496,1.0,0.660700165631106,1.0
113,1.0,0.8603789917962774,1.0,0.5200941449120772,1.0,0.8823330539966718,1.0
114,1.0,0.8607570364465946,1.0,0.5198520566645704,1.0,0.6606557904796013,1.0
115,1.0,0.6629773282109495,1.0,0.5200094087327465,1.0,0.6672115517811857,1.0
116,1.0,0.8606520446940378,1.0,0.5198215812791496,1.0,0.660700165631106,1.0
