,Active,rrha_15_rescore,rrha_15_predict,rrha_3_rescore,rrha_3_predict
146,1.0,0.5116823884694193,1.0,0.345836830574888,1.0
147,1.0,0.5116823884694193,1.0,0.31019097715814137,1.0
148,1.0,0.5118502038352711,1.0,0.31026841698186547,1.0
149,1.0,0.5113812037185218,1.0,0.3102424641194872,1.0
150,1.0,0.5116823884694193,1.0,0.31019097715814137,1.0
151,1.0,0.5112350730675275,1.0,0.31026586252506017,1.0
152,1.0,0.5116823884694193,1.0,0.31019097715814137,1.0
153,1.0,0.5116823884694193,1.0,0.31019097715814137,1.0
154,1.0,0.5116823884694193,1.0,0.31019097715814137,1.0
155,1.0,0.5112350730675275,1.0,0.31026586252506017,1.0
156,1.0,0.5116823884694193,1.0,0.31019097715814137,1.0
157,1.0,0.5116823884694193,1.0,0.31019097715814137,1.0
158,1.0,0.5116823884694193,1.0,0.31019097715814137,1.0
159,1.0,0.0,0.0,0.0,0.0
160,1.0,0.4865169518161232,1.0,0.26214538211423144,1.0
161,1.0,0.4583594229743514,1.0,0.4893823845852183,1.0
162,1.0,0.3709137655723358,1.0,0.4577872715165324,1.0
163,1.0,0.5116771350641274,1.0,0.45770951762025036,1.0
164,1.0,0.3025988816181713,1.0,0.4578126695173915,1.0
165,1.0,0.36875981697345683,1.0,0.4579858910022284,1.0
166,1.0,0.0,0.0,0.0,0.0
167,1.0,0.0,0.0,0.17500939521884606,1.0
168,1.0,0.0,0.0,0.0,0.0
169,1.0,0.0,0.0,0.0,0.0
170,1.0,0.0,0.0,0.0,0.0
171,1.0,0.5564919747575658,1.0,0.0,0.0
172,1.0,0.0,0.0,0.0,0.0
173,1.0,0.0,0.0,0.17500939521884606,1.0
174,1.0,0.5272965680667155,1.0,0.0,0.0
175,1.0,0.34545745174778697,1.0,0.0,0.0
176,1.0,0.7935903820697859,1.0,0.5959793540844492,1.0
177,1.0,0.7935903820697859,1.0,0.7930265297403837,1.0
178,1.0,0.7931687569732139,1.0,0.4333193651307998,1.0
179,1.0,0.6144296006675872,1.0,0.5959539560835901,1.0
180,1.0,0.0,0.0,0.3579832308076619,1.0
181,1.0,0.7930230038124203,1.0,0.9736278507567824,1.0
182,1.0,0.7935903820697859,1.0,0.5959793540844492,1.0
183,1.0,0.5610495083221595,1.0,0.5591592461877531,1.0
184,1.0,0.28336335463964923,1.0,0.4989040909196504,1.0
185,1.0,0.7935903820697859,1.0,0.5959793540844492,1.0
186,1.0,0.7935903820697859,1.0,0.5959793540844492,1.0
187,1.0,0.4866675179769747,1.0,0.40112395471287277,1.0
188,1.0,0.0,0.0,0.0,0.0
189,1.0,0.5113434442126212,1.0,0.4576814395335629,1.0
190,1.0,0.5118145729546685,1.0,0.45793490655697544,1.0
191,1.0,0.5113434442126212,1.0,0.4576814395335629,1.0
192,1.0,0.3068715988263997,1.0,0.45768418243390285,1.0
193,1.0,0.48642564113092956,1.0,0.4576633384851352,1.0
194,1.0,0.5115810742939093,1.0,0.4578182181325834,1.0
195,1.0,0.5114344508084866,1.0,0.45780873314133097,1.0
196,1.0,0.0,0.0,0.0,0.0
197,1.0,0.0,0.0,0.0,0.0
198,1.0,0.5272965680667155,1.0,0.0,0.0
199,1.0,0.34545745174778697,1.0,0.0,0.0
200,1.0,0.34545745174778697,1.0,0.0,0.0
201,1.0,0.5272965680667155,1.0,0.0,0.0
202,1.0,0.0,0.0,0.0,0.0
203,1.0,0.0,0.0,0.0,0.0
204,1.0,0.0,0.0,0.0,0.0
205,1.0,0.4862166373898549,1.0,0.40109688165837076,1.0
206,1.0,0.0,0.0,0.0,0.0
207,1.0,0.0,0.0,0.0,0.0
208,1.0,0.0,0.0,0.0,0.0
209,1.0,0.0,0.0,0.0,0.0
210,1.0,0.0,0.0,0.0,0.0
211,1.0,0.0,0.0,0.0,0.0
212,1.0,0.0,0.0,0.0,0.0
213,1.0,0.0,0.0,0.0,0.0
214,1.0,0.0,0.0,0.0,0.0
215,1.0,0.0,0.0,0.0,0.0
216,1.0,0.0,0.0,0.0,0.0
217,1.0,0.0,0.0,0.0,0.0
218,1.0,0.0,0.0,0.0,0.0
219,1.0,0.0,0.0,0.0,0.0
220,1.0,0.2836616138414918,1.0,0.26228584583126624,1.0
221,1.0,0.2836616138414918,1.0,0.26228584583126624,1.0
222,1.0,0.4330257934650029,1.0,0.4013457946296921,1.0
223,1.0,0.4866355151966335,1.0,0.2622543966991224,1.0
224,1.0,0.48673407159651116,1.0,0.2620683819920886,1.0
225,1.0,0.48661932506136263,1.0,0.26214294281736406,1.0
226,1.0,0.5854868188076607,1.0,0.5505721779096668,1.0
227,1.0,0.5855243161675887,1.0,0.5505528310400923,1.0
228,1.0,0.13961328268057982,1.0,0.06210994216678367,1.0
229,1.0,0.0,0.0,0.0,0.0
230,1.0,0.0,0.0,0.0,0.0
231,1.0,0.0,0.0,0.0,0.0
232,1.0,0.4330257934650029,1.0,0.4013457946296921,1.0
233,1.0,0.40176837801080156,1.0,0.40127615427449237,1.0
234,1.0,0.4866355151966335,1.0,0.2622543966991224,1.0
235,1.0,0.6257986198413001,1.0,0.3918585315857902,1.0
236,1.0,0.556686099093233,1.0,0.0,0.0
237,1.0,0.5164164196744789,1.0,0.47618696107046565,1.0
